Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number
-0.029255605712045586,-14.445185647485854,,[57.         45.93189982 42.83439918 30.64553037 25.93269037]
-0.007057638258936141,-14.298157189819971,,[41.         35.47665318 24.70109182 20.37091008 24.1822747 ]
-0.06823859745448882,-15.936547263422286,,[44.         31.15671106 22.3053106  10.89999126  3.5981114 ]
-0.01667120184272517,-18.12406813175992,,[59.         49.51196708 36.34713737 23.55581644 43.35232853]
0.11435077631799709,-18.559376313481057,,[34.         42.25456357 48.93437674 94.52621922 66.30704559]
0.09961413817470395,-17.546852999678563,,[54.         64.37015246 64.53760342 89.58744866 67.6378829 ]
0.00943298770453,-18.753601352472007,,[64.         58.32334753 27.808882   42.08341193 47.84962992]
0.22705009306313467,-18.138410153913185,,[ 39.          65.48939653 158.6854037  237.19704707 318.55089137]
0.01247935144742169,-15.393382925760788,,[54.         49.678812   47.99684361 28.32270032 32.72285268]
0.015790760990063855,-14.74204803982643,,[49.         45.54406822 50.32198887 41.23918934 36.99627714]
-0.0649574696904063,-13.60773109300531,,[41.         29.35637311 23.96386286 20.09826342 14.55305627]
0.1630421470209319,-17.156404053904165,,[ 44.          62.50813312 121.66410652 135.0676828  158.81159517]
0.06867113374218847,-21.490712738462467,,[43.         46.87129111 60.08773791 37.50596604 85.85109416]
-0.13226560157722494,-13.91713562354613,,[56.         31.65800157 12.24270872  7.16641251  2.39381122]
0.04938015158563101,-15.079380046303886,,[51.         52.50334679 48.64267118 53.13368857 49.69538878]
-0.014161711097570265,-13.733577393378564,,[41.         34.68383321 14.15635746 15.31974464  8.59703913]
0.04163006595245395,-17.496964465445707,,[50.         50.28982328 37.62296932 60.10800848 38.33072589]
0.2199830408295027,-17.479317315145657,,[ 46.          75.86508874 115.26616757 191.14916551 233.25181645]
0.0178216394771543,-14.146562632491326,,[39.         36.47766941 34.98689803 36.41742461 26.93182712]
-0.09020839297631428,-12.312025651067671,,[47.         30.86440667 21.97851564 11.89236879  3.89298329]
-0.06930902398553923,-16.421450790023865,,[49.         34.57154654 32.64223991 15.97132822 22.70548324]
0.051674226134007156,-18.06005116011852,,[55.         57.01067387 42.8550634  39.42040425 15.80121255]
0.1348959128275158,-17.08344871718542,,[ 60.          78.95379398 126.94254352 135.83287823 133.72956274]
0.10644884267332588,-17.375755400937653,,[ 62.          75.35467067  87.33749136 121.05687816  97.78371136]
0.05912959368083276,-17.074102807916386,,[67.         71.0060398  71.98283485 85.40608095 55.64633978]
0.10485223977410424,-15.905507571474413,,[49.         59.28580328 78.60640428 89.83524968 98.36719479]
-0.16271533748286807,-13.238192219187503,,[55.         27.76109906 21.86180466 13.71113855  6.41194296]
0.12066112668213705,-17.225588800331675,,[ 64.          80.95630178  78.4459637  107.66556864 128.55126586]
0.07576595364509002,-18.180956366052772,,[38.         42.28957277 48.20163216 33.25385044 12.25229594]
0.004245506235805954,-15.349931904118547,,[40.         35.86619093 48.5453147  38.15938976 18.98408625]
-0.12553127915748108,-14.560567171182079,,[65.         37.65720878 17.10863617 13.63912205 13.73780115]
-0.07796949149613314,-12.697239282327912,,[42.         28.77059687 21.57788759 21.08903933  9.86218006]
-0.1123611707791376,-13.995720130255684,,[59.         35.83817996 17.93802213 16.50036257 12.34609461]
-0.11392649512806319,-17.883587769368674,,[54.         32.61828089 16.05426544  9.29810675  9.20797727]
0.002380211795700672,-14.909791702600169,,[52.         46.35417735 56.15971239 42.77989382 30.19742773]
0.11578375398405358,-16.65340070196865,,[ 43.          53.65500289  66.32769321 102.81617843 102.5033186 ]
-0.0940365809799937,-14.329686192484628,,[41.         26.56771082 21.68745357 15.25534118 13.71938717]
0.005474805434105431,-14.29135046182239,,[40.         36.00446247 41.64410805 18.74573505 13.72123714]
-0.07630864828291212,-13.744513260501641,,[61.         42.02409304 35.26397171 19.96166629 14.58589047]
-0.09019292677238286,-14.177653042981667,,[57.         37.43331333 18.74738845  5.94650395  6.6740443 ]
-0.0399159341118008,-13.480352228220168,,[58.         45.13921635 26.81349542 16.2081018  11.20467768]
0.011025988131065763,-15.027483345006758,,[47.         43.04411114 45.97750801 33.1706648  36.45341073]
0.17590573860446843,-17.49170125935994,,[ 45.          66.16370927 120.12815026 151.77158879 214.17077226]
0.056538999520075545,-14.711929067029123,,[44.         46.27389197 49.69171158 42.85230269 41.86061791]
