97,98,125,78
77,110,131,69
63,71,58,28
74,51,25,10
81,63,66,34
71,33,34,11
82,94,77,48
58,78,88,45
74,88,74,60
73,42,32,8
82,83,90,75
90,109,214,184
80,73,54,20
65,54,26,13
72,65,61,41
87,72,78,35
94,73,73,37
81,65,79,36
98,63,36,17
87,110,106,97
65,64,72,40
55,72,82,42
77,96,99,67
79,89,111,87
58,77,67,38
79,83,145,122
47,91,107,68
99,71,33,36
86,83,47,28
69,84,67,48
48,64,48,37
90,62,74,30
85,68,39,35
83,48,17,9
84,76,88,51
80,66,62,33
90,59,27,9
87,106,114,84
66,49,26,13
69,71,75,41
60,62,45,26
71,79,101,80
67,64,60,38
65,50,28,17
81,77,62,38
79,66,34,39
79,86,127,116
81,66,44,41
82,66,34,14
93,68,76,43
64,86,100,70
78,98,203,177
84,74,77,39
109,60,49,26
102,98,109,69
81,52,12,7
76,77,102,65
60,107,152,123
84,109,229,199
83,80,76,49
83,67,89,37
96,115,161,120
56,33,14,10
80,89,60,33
77,122,205,163
86,76,59,39
62,76,80,53
51,53,64,31
86,93,78,72
77,66,58,44
73,94,43,22
70,76,70,47
97,111,129,129
62,79,94,43
78,60,75,37
79,94,68,43
67,62,61,38
103,38,4,0
61,81,112,66
92,99,75,71
69,96,104,68
69,96,64,15
107,98,92,79
116,68,35,9
76,46,41,36
66,103,154,104
68,73,101,76
58,51,22,16
99,102,180,129
77,108,189,144
62,75,84,44
95,63,56,31
94,81,86,39
78,67,47,28
71,105,119,96
53,52,44,14
75,126,259,249
78,91,159,64
95,72,43,31
69,86,59,48
59,53,33,32
67,63,67,47
78,75,68,39
76,61,47,30
73,60,44,15
58,80,85,59
83,118,246,239
74,26,36,22
80,69,26,12
84,77,68,26
57,78,73,48
89,104,175,154
75,75,76,37
78,58,44,15
71,51,56,20
99,60,38,18
52,45,37,27
77,80,62,53
60,56,74,38
58,68,49,33
76,70,21,12
77,81,110,131
96,82,71,37
70,77,145,91
60,91,143,122
71,87,156,102
104,103,121,81
72,79,67,37
60,72,51,26
64,51,46,16
63,43,39,23
89,80,74,35
65,73,72,69
63,60,76,37
80,70,114,81
86,84,82,41
64,65,64,59
49,47,57,15
56,56,22,7
51,60,55,24
69,69,66,35
72,52,67,31
89,89,79,66
73,69,32,19
72,62,55,39
67,75,77,81
71,46,16,1
67,58,19,5
89,70,41,12
76,57,28,6
88,81,54,41
78,113,132,90
71,76,101,51
64,40,21,7
70,78,71,41
94,156,253,188
91,74,57,18
84,70,60,45
74,82,67,36
78,62,41,31
63,91,126,97
64,86,116,105
76,67,32,7
86,55,35,13
72,68,64,37
80,72,54,29
89,56,77,59
28,68,95,71
59,78,62,35
107,112,209,168
101,108,94,47
71,75,104,75
70,130,287,232
69,83,56,18
77,63,18,7
81,61,49,29
90,68,49,29
72,77,83,47
92,121,154,85
51,53,55,29
61,57,34,14
68,59,71,26
67,53,49,35
61,71,87,54
60,75,20,10
68,65,50,40
69,107,138,88
61,70,94,49
55,63,66,58
80,63,47,24
61,58,34,21
70,82,49,41
79,73,94,64
84,92,115,79
54,44,30,8
74,95,204,171
92,52,34,15
70,88,127,94
61,48,21,5
75,77,80,51
62,72,63,30
79,88,148,123
75,49,14,4
89,66,35,8
56,60,24,13
90,93,90,91
71,55,26,14
87,119,203,146
97,124,161,131
80,70,39,22
87,67,53,14
77,93,142,88
73,63,32,15
48,45,27,9
46,50,72,37
74,79,90,59
73,51,9,1
55,69,45,18
72,66,30,8
80,95,208,135
78,122,191,175
64,68,71,54
46,52,43,27
88,105,207,171
79,72,43,38
69,70,85,44
68,48,44,26
87,91,109,93
57,57,41,33
73,52,30,15
76,60,15,7
72,106,86,68
69,109,97,60
56,76,56,28
58,48,37,10
84,58,28,21
53,66,68,32
128,92,131,105
74,92,111,88
65,79,65,52
63,74,154,126
66,54,31,16
88,41,13,15
71,65,50,25
77,78,59,34
74,73,61,46
86,52,21,11
82,74,43,39
64,77,42,38
38,60,52,38
62,67,28,17
67,92,78,53
75,60,20,15
109,116,200,136
67,123,139,116
84,57,25,8
57,43,35,14
69,63,76,69
53,46,46,20
91,97,129,114
73,91,70,56
81,90,113,46
85,85,124,73
57,59,38,16
90,94,82,44
89,97,47,29
71,76,95,53
73,68,64,33
69,42,25,7
81,59,34,19
77,70,63,40
98,84,63,37
81,103,120,101
73,116,276,226
60,88,147,117
39,56,80,33
98,70,27,9
91,69,51,30
82,62,55,23
81,51,19,11
87,63,53,26
76,50,25,16
56,66,36,32
74,63,64,40
85,94,75,86
71,74,45,24
88,87,126,94
75,75,71,50
69,59,35,16
78,84,90,70
57,93,171,141
81,102,140,116
58,39,16,6
67,35,29,20
61,51,26,13
68,97,184,145
58,102,74,47
63,64,69,36
86,101,125,115
66,69,47,40
82,41,11,4
75,95,87,41
74,69,99,56
72,104,177,160
73,97,79,33
61,70,43,26
75,75,98,53
93,92,126,120
74,125,149,139
85,78,47,28
94,54,42,26
58,82,66,30
63,58,43,22
109,97,114,90
86,80,67,35
86,50,43,29
78,73,93,70
86,82,73,41
64,57,26,8
91,86,103,81
83,58,38,8
64,96,150,103
88,80,63,36
71,46,46,29
60,76,92,74
67,67,83,58
81,61,24,9
60,80,62,52
82,66,34,13
95,113,100,59
77,97,129,80
89,81,67,28
50,59,64,50
99,70,46,38
108,51,40,17
85,55,35,13
74,71,36,29
70,77,90,50
63,95,95,95
73,100,107,78
75,81,97,90
69,66,60,37
70,76,73,38
