60,40,39,37,31
46,32,21,15,4
49,32,37,15,20
45,44,32,20,21
44,56,65,54,42
38,28,39,12,4
35,65,53,46,69
33,32,9,7,4
37,100,90,132,149
59,92,105,128,131
50,22,20,6,1
59,23,13,7,7
40,32,49,61,51
44,32,13,14,5
43,59,94,102,105
38,72,51,56,29
50,63,51,85,54
49,60,70,66,60
45,36,25,2,4
48,42,36,21,21
76,43,37,22,19
44,69,66,43,53
41,57,41,41,39
42,26,15,9,3
46,23,8,8,0
47,36,46,35,31
58,47,32,24,16
64,50,83,97,97
32,102,200,318,516
43,57,101,121,154
30,38,44,50,70
52,38,19,26,9
58,36,35,16,8
47,44,23,18,14
43,21,26,19,6
42,45,31,13,4
54,29,13,10,2
30,35,26,19,12
44,44,28,29,15
62,39,39,48,54
49,40,39,11,22
56,98,85,74,85
43,55,38,40,35
45,32,23,19,8
50,52,67,56,56
39,55,82,148,170
55,75,108,147,162
46,22,14,1,2
35,36,23,8,7
47,20,13,9,4
55,69,149,149,171
38,67,38,41,45
42,42,33,37,29
46,75,86,107,120
34,34,31,26,22
44,25,11,1,1
55,70,66,51,32
49,60,57,62,72
50,68,93,142,168
53,67,55,33,21
49,50,42,25,27
62,66,55,31,35
56,62,75,89,109
54,69,108,91,123
54,48,38,12,19
46,46,31,30,23
44,50,46,28,23
44,58,36,24,29
52,73,72,62,64
54,50,66,16,21
36,26,33,31,14
42,62,68,56,69
31,44,51,59,43
57,31,25,10,7
47,95,97,112,100
46,37,21,13,5
60,95,133,162,141
52,45,39,8,18
55,39,47,34,30
36,73,83,73,68
42,53,46,51,46
63,35,25,15,1
59,58,58,42,36
56,28,17,11,6
55,65,59,56,50
43,56,72,85,95
57,49,33,26,29
48,40,41,59,31
61,47,35,29,18
40,39,35,32,27
60,30,19,7,3
46,36,43,13,4
48,55,74,59,33
49,61,73,91,89
42,65,64,91,66
42,50,57,74,53
46,34,28,29,23
43,43,50,44,30
57,71,105,116,175
60,49,39,35,7
45,37,35,12,24
42,51,53,44,26
43,24,18,14,1
48,52,47,39,24
54,53,48,39,15
50,60,66,45,58
56,67,112,173,188
41,37,41,52,46
56,78,61,74,81
42,37,28,21,20
51,53,64,62,83
53,59,80,73,68
39,76,143,162,246
52,40,16,10,11
46,27,29,14,9
48,33,13,10,3
53,25,16,9,4
48,84,132,216,335
55,46,36,27,21
41,45,43,18,19
75,18,18,18,2
49,78,69,54,37
59,38,16,15,7
47,94,117,163,209
49,20,12,5,1
45,41,36,43,29
55,27,11,5,2
48,41,42,23,21
49,26,23,12,10
60,33,17,22,3
48,70,69,60,77
56,50,44,63,42
46,33,26,31,12
40,30,49,27,35
43,14,5,2,3
75,55,34,36,16
60,78,69,43,56
39,51,39,38,38
54,61,62,83,61
53,72,85,103,82
56,38,34,21,19
57,30,19,10,3
55,62,128,180,179
54,40,41,39,7
60,64,58,64,41
57,44,34,16,7
72,37,28,26,16
53,24,18,5,0
52,81,96,138,160
45,62,116,160,153
68,15,14,1,2
49,44,47,27,16
60,88,97,139,118
55,82,162,347,541
64,43,56,51,42
38,42,41,31,20
53,53,81,94,89
56,60,70,82,73
57,56,26,32,7
33,32,27,26,21
59,97,132,172,201
35,31,5,5,1
57,63,61,62,41
41,44,32,39,20
52,36,33,25,4
35,45,33,37,19
43,45,43,19,21
49,34,29,18,10
