68,56,43,39,24
84,50,23,23,7
69,62,73,47,38
66,66,76,61,27
78,66,72,61,43
82,103,85,72,57
70,51,55,41,14
62,59,66,62,30
57,95,99,109,85
86,48,21,10,3
66,47,34,26,4
90,72,52,31,15
78,49,31,19,12
73,68,79,74,33
94,106,117,141,97
73,87,92,69,55
56,66,33,23,6
89,75,83,74,57
78,121,163,222,186
66,69,66,46,30
80,67,73,73,29
74,82,46,80,38
59,44,61,69,34
87,95,92,90,70
72,75,94,111,100
82,52,37,45,15
63,57,45,34,14
68,84,76,68,47
83,52,61,56,34
62,76,78,69,52
50,88,92,98,62
69,62,65,61,30
84,128,147,203,176
73,98,112,92,61
81,98,88,100,73
95,124,158,236,175
90,86,49,31,13
74,38,38,21,4
67,93,76,57,23
75,57,72,41,17
93,81,82,78,46
79,99,128,145,119
70,75,51,49,25
57,52,33,21,10
51,60,64,61,23
77,58,51,44,25
65,72,52,72,38
67,48,45,32,11
59,73,63,72,35
58,91,104,148,112
67,75,89,77,45
68,90,81,92,49
75,55,56,53,24
68,44,53,33,23
64,43,57,58,27
86,78,100,77,65
84,59,105,87,65
53,57,38,24,8
84,92,163,194,143
77,56,34,26,13
56,80,105,115,91
57,55,26,25,5
74,92,86,80,60
55,74,51,56,24
69,97,103,157,131
76,42,31,19,7
94,65,46,29,12
78,61,36,45,13
77,105,90,117,75
77,47,48,14,16
96,127,132,186,138
95,115,143,168,150
83,52,52,46,13
85,58,67,56,25
58,90,110,138,104
99,52,70,51,19
72,65,31,25,10
58,56,59,47,40
59,86,86,80,57
57,42,19,17,0
61,58,64,52,20
81,65,61,29,13
63,97,160,165,144
85,120,150,195,183
81,65,98,69,55
67,55,36,50,22
87,94,174,250,200
78,59,71,63,21
75,78,72,77,47
73,47,49,45,23
66,108,120,140,92
91,70,62,40,28
80,83,36,29,18
74,61,17,22,11
65,108,100,120,70
89,74,65,93,52
63,64,70,68,26
67,48,47,31,11
74,63,40,26,14
96,83,61,72,45
101,124,136,150,80
87,98,119,97,91
48,95,87,67,36
71,93,115,159,107
70,67,52,41,14
83,70,23,14,12
87,84,60,68,24
73,77,72,48,30
88,88,80,64,53
77,46,49,24,12
86,71,50,62,27
86,62,62,51,29
65,80,51,70,59
102,46,46,37,18
81,78,90,106,56
78,59,38,22,6
98,112,140,180,141
87,104,140,174,118
72,93,37,9,14
99,53,39,29,10
61,56,75,109,60
68,64,46,34,23
82,107,115,129,106
65,72,72,66,43
70,76,83,106,51
60,91,106,144,71
54,48,38,45,11
98,81,77,67,29
99,80,70,42,28
